Input,Table,Output
This table is a mess!,name age salary email ,0
I can't believe how many errors there are in this table.,name date address ,0
How many orders were placed this month?,order id date product ,1
What is the status of my application?,name application status date ,0
I don't understand the purpose of this table.,name description date ,0
How many people attended the event?,name email attendance status ,1
This table is beautifully organized!,name address email ,1
What is the best restaurant in town?,name cuisine rating ,0
What is the average age of employees?,name age department ,1
This table is very well-structured!,name address phone ,1
Are there any red cars available?,brand color year ,1
Wow there are so many records in this table!,name email phone ,1
What is the total revenue for the year?,date product revenue ,1
I cannot believe how messy this table is!,name age salary phone ,0
I'm so confused by the relationships between the tables.,name id department ,0
How many customers are from New York?,name city state ,1
I love the design of this table!,name address occupation ,1
What is the weather like today?,date temperature humidity ,0
How many students are in this class?,name student id grade ,1
What is the average price of a product?,name category price ,1
This table is a mess!,name age salary email ,0
I can't believe how many errors there are in this table.,name date address ,0
How many orders were placed this month?,order id date product ,1
What is the status of my application?,name application status date ,0
I don't understand the purpose of this table.,name description date ,0
How many people attended the event?,name email attendance status ,1
This table is beautifully organized!,name address email ,1
What is the best restaurant in town?,name cuisine rating ,0
What is the average age of employees?,name age department ,1
This table is very well-structured!,name address phone ,1
Are there any red cars available?,brand color year ,1
Wow there are so many records in this table!,name email phone ,1
What is the total revenue for the year?,date product revenue ,1
I cannot believe how messy this table is!,name age salary phone ,0
I'm so confused by the relationships between the tables.,name id department ,0
How many customers are from New York?,name city state ,1
I love the design of this table!,name address occupation ,1
What is the weather like today?,date temperature humidity ,0
How many students are in this class?,name student id grade ,1
What is the average price of a product?,name category price ,1
This table is a mess!,name age salary email ,0
I can't believe how many errors there are in this table.,name date address ,0
How many orders were placed this month?,order id date product ,1
What is the status of my application?,name application status date ,0
I don't understand the purpose of this table.,name description date ,0
How many people attended the event?,name email attendance status ,1
This table is beautifully organized!,name address email ,1
What is the best restaurant in town?,name cuisine rating ,0
What is the average age of employees?,name age department ,1
This table is very well-structured!,name address phone ,1
Are there any red cars available?,brand color year ,1
Wow there are so many records in this table!,name email phone ,1
What is the total revenue for the year?,date product revenue ,1
I cannot believe how messy this table is!,name age salary phone ,0
I'm so confused by the relationships between the tables.,name id department ,0
How many customers are from New York?,name city state ,1
I love the design of this table!,name address occupation ,1
What is the weather like today?,date temperature humidity ,0
How many students are in this class?,name student id grade ,1
What is the average price of a product?,name category price ,1
This table is a mess!,name age salary email ,0
I can't believe how many errors there are in this table.,name date address ,0
How many orders were placed this month?,order id date product ,1
What is the status of my application?,name application status date ,0
I don't understand the purpose of this table.,name description date ,0
How many people attended the event?,name email attendance status ,1
This table is beautifully organized!,name address email ,1
What is the best restaurant in town?,name cuisine rating ,0
What is the average age of employees?,name age department ,1
This table is very well-structured!,name address phone ,1
Are there any red cars available?,brand color year ,1
Wow there are so many records in this table!,name email phone ,1
What is the total revenue for the year?,date product revenue ,1
I cannot believe how messy this table is!,name age salary phone ,0
I'm so confused by the relationships between the tables.,name id department ,0
How many customers are from New York?,name city state ,1
I love the design of this table!,name address occupation ,1
What is the weather like today?,date temperature humidity ,0
How many students are in this class?,name student id grade ,1
What is the average price of a product?,name category price ,1
This table is a mess!,name age salary email ,0
I can't believe how many errors there are in this table.,name date address ,0
How many orders were placed this month?,order id date product ,1
What is the status of my application?,name application status date ,0
I don't understand the purpose of this table.,name description date ,0
How many people attended the event?,name email attendance status ,1
This table is beautifully organized!,name address email ,1
What is the best restaurant in town?,name cuisine rating ,0
What is the average age of employees?,name age department ,1
This table is very well-structured!,name address phone ,1
Are there any red cars available?,brand color year ,1
Wow there are so many records in this table!,name email phone ,1
What is the total revenue for the year?,date product revenue ,1
I cannot believe how messy this table is!,name age salary phone ,0
I'm so confused by the relationships between the tables.,name id department ,0
How many customers are from New York?,name city state ,1
I love the design of this table!,name address occupation ,1
What is the weather like today?,date temperature humidity ,0
How many students are in this class?,name student id grade ,1
What is the average price of a product?,name category price ,1
This table is a mess!,name age salary email ,0
I can't believe how many errors there are in this table.,name date address ,0
How many orders were placed this month?,order id date product ,1
What is the status of my application?,name application status date ,0
I don't understand the purpose of this table.,name description date ,0
How many people attended the event?,name email attendance status ,1
This table is beautifully organized!,name address email ,1
What is the best restaurant in town?,name cuisine rating ,0
What is the average age of employees?,name age department ,1
This table is very well-structured!,name address phone ,1
Are there any red cars available?,brand color year ,1
Wow there are so many records in this table!,name email phone ,1
What is the total revenue for the year?,date product revenue ,1
I cannot believe how messy this table is!,name age salary phone ,0
I'm so confused by the relationships between the tables.,name id department ,0
How many customers are from New York?,name city state ,1
I love the design of this table!,name address occupation ,1
What is the weather like today?,date temperature humidity ,0
How many students are in this class?,name student id grade ,1
What is the average price of a product?,name category price ,1
This table is a mess!,name age salary email ,0
I can't believe how many errors there are in this table.,name date address ,0
How many orders were placed this month?,order id date product ,1
What is the status of my application?,name application status date ,0
I don't understand the purpose of this table.,name description date ,0
How many people attended the event?,name email attendance status ,1
This table is beautifully organized!,name address email ,1
What is the best restaurant in town?,name cuisine rating ,0
What is the average age of employees?,name age department ,1
This table is very well-structured!,name address phone ,1
Are there any red cars available?,brand color year ,1
Wow there are so many records in this table!,name email phone ,1
What is the total revenue for the year?,date product revenue ,1
I cannot believe how messy this table is!,name age salary phone ,0
I'm so confused by the relationships between the tables.,name id department ,0
How many customers are from New York?,name city state ,1
I love the design of this table!,name address occupation ,1
What is the weather like today?,date temperature humidity ,0
How many students are in this class?,name student id grade ,1
What is the average price of a product?,name category price ,1
This table is a mess!,name age salary email ,0
I can't believe how many errors there are in this table.,name date address ,0
How many orders were placed this month?,order id date product ,1
What is the status of my application?,name application status date ,0
I don't understand the purpose of this table.,name description date ,0
How many people attended the event?,name email attendance status ,1
This table is beautifully organized!,name address email ,1
What is the best restaurant in town?,name cuisine rating ,0
How many books are in the library?,title author year ,1
This table is a mess!,name age salary email ,0
What is the status of my order?,order id status date ,1
The table structure is very intuitive.,name category price ,1
I can't find the information I need in this table.,name address phone ,0
How many hours did the employee work last week?,name hours worked hourly rate ,1
I can't believe how many records are in this table!,name email phone ,1
What is the average temperature this month?,date temperature humidity ,1
This table is so poorly designed!,name id department ,0
How many students passed the exam?,name grade pass/fail ,1
I'm so confused by this table.,name description date ,0
What is the total amount of sales?,date product revenue ,1
This table is beautifully organized!,name address email ,1
How many customers purchased the product?,name email purchase history ,1
What is the best-selling item this week?,item sales date ,1
I don't understand the relationships between these tables.,name id department ,0
How many people attended the concert?,name email attendance status ,1
The table structure is very flexible.,name address occupation ,1
What is the average age of customers?,name age city ,1
I'm amazed by how clean and organized this table is!,name address phone ,1
How many tickets were sold for the event?,name email ticket status ,1
This table is a disaster!,name age occupation address ,0
What is the average rating of the product?,name category rating ,1
I can't believe how well-organized this table is!,name address phone ,1
How many patients were admitted to the hospital this month?,name admission date discharge date ,1
This table is so confusing!,name id department ,0
What is the total profit for the year?,date product revenue cost ,1
This table is beautifully designed!,name address email ,1
How many visitors came to the museum last week?,name email visitor status ,1
I can't find any useful information in this table.,name gender favorite color ,0
What is the average salary for employees?,name age salary ,1
This table is a mess!,name start date end date location ,0
I can't believe how many records there are in this table!,name email phone address ,1
How many books were checked out from the library last month?,title author checkout date return date ,1
This table is so well-organized!,name category price ,1
I don't understand the structure of this table at all.,name address occupation ,0
How many students are enrolled in the class?,name student id grade ,1
What is the total cost of the project?,name cost start date end date ,1
This table is a disaster!,name email phone address occupation ,0
How many sales were made last week?,product date revenue ,1
What is the average age of the customers?,name age address phone ,1
This table is so well-structured!,name email phone ,1
How many patients have been diagnosed with the disease?,name diagnosis date ,1
I can't find anything in this table!,name id address phone ,0
What is the total revenue for the quarter?,date product revenue cost ,1
This table is a mess!,name email salary department ,0
How many items are in stock?,product quantity price ,1
This table is so beautifully designed!,name email phone address ,1
What is the average GPA of the students?,name id GPA ,1
I can't believe how poorly organized this table is!,name occupation salary ,0
How many orders were placed today?,order id date product quantity ,1
This table is so confusing!,name age gender address ,0
What is the total amount of donations?,name email amount ,1
I can't find the information I need in this table.,name id department salary ,0
How many students are enrolled in the course?,name id course grade ,1
This table is a disaster!,name email phone address occupation salary ,0
What is the average duration of the project?,name start date end date duration ,1
How many flights were canceled last week?,flight number date cancellation status ,1
This table is so well-organized!,name email phone address occupation ,1
What is the total number of employees?,name id department salary ,1
How many students passed the exam?,name id exam score ,1
This table is a disaster!,name email phone address occupation salary ,0
What is the total amount of revenue?,date product quantity price ,1
I can't believe how well-organized this table is!,name email phone address ,1
How many customers have made purchases in the last month?,name email purchase date product ,1
This table is so confusing!,name email phone gender age ,0
What is the average number of employees per department?,department employee id salary ,1
This table is beautifully designed!,name email phone address ,1
How many flights were delayed last week?,flight number date delay status ,1
I can't find anything in this table!,name id address ,0
What is the total amount of expenses for the quarter?,date category amount ,1
This table is a mess!,name email phone department ,0
How many students attended the lecture?,name id lecture date attendance ,1
I can't believe how poorly organized this table is!,name email phone address occupation ,0
What is the average duration of the movie?,title duration rating ,1
This table is so well-structured!,name email phone occupation salary ,1
How many orders were cancelled last week?,order id date product quantity cancellation status ,1
This table is so confusing!,name id course grade department ,0
What is the total number of customers?,name email phone address ,1
How many students are enrolled in the class?,name id class grade ,1
What is the average age of the employees?,name id age department salary ,1
This table is a disaster!,name address email phone ,0
How many products are in stock?,product name product id quantity ,1
I can't believe how well-designed this table is!,name email phone address ,1
How many tickets have been sold for the concert?,ticket id customer name purchase date concert date ,1
This table is so confusing!,name age gender occupation salary ,0
What is the total revenue for the year?,date product quantity price ,1
This table is beautifully organized!,name email phone department ,1
How many cars were sold last month?,car model car id sale date sale price ,1
I can't find anything in this table!,name email phone ,0
What is the average rating of the restaurant?,name cuisine rating ,1
This table is a mess!,name email phone address occupation ,0
How many items were returned last week?,order id item quantity return status ,1
I can't believe how poorly organized this table is!,name email phone address ,0
What is the total number of employees?,name id department salary ,1
This table is so well-structured!,name email phone occupation ,1
How many flights were cancelled last week?,flight number date cancellation status ,1
This table is so confusing!,name id course grade department ,0
What is the total amount of sales for the quarter?,date product quantity price ,1
How many students are enrolled in the program?,name id program start date ,1
What is the total number of sales?,sale id customer name date product quantity ,1
This table makes no sense!,name age occupation salary address ,0
How many orders were placed last week?,order id customer name date product quantity ,1
This table is perfectly structured!,name email phone address ,1
What is the average rating for this movie?,movie id name genre rating ,1
This table is a total mess!,name email phone address occupation salary ,0
How many tickets were sold for the concert?,ticket id customer name date quantity price ,1
This table is beautifully organized!,name email department salary ,1
How many patients visited the clinic today?,patient id name visit date visit type ,1
I can't make sense of this table at all!,name email address ,0
What is the total profit for the year?,date product quantity cost price ,1
This table is so confusing!,name email phone gender age occupation ,0
How many items are in inventory?,item id item name category quantity price ,1
I love the way this table is structured!,name email phone job title ,1
What is the average salary of the employees?,employee id name department job title salary ,1
This table is a disaster!,name address phone email occupation salary age gender ,0
How many visits did the website receive this month?,visit id date page views ,1
This table is so cluttered!,name email phone age gender occupation salary ,0
What is the total number of products sold?,sale id product name category quantity price ,1
How many students are enrolled in this course?,student id name course enrollment date ,1
